d3mIndex,bounding_box,confidence
5,"2179,1805,2179,1960,2335,1960,2335,1805",0.9263
5,"2082,793,2082,965,2254,965,2254,793",0.9107
5,"2100,1292,2100,1412,2223,1412,2223,1292",0.8352
5,"1962,2491,1962,2612,2094,2612,2094,2491",0.8219
5,"375,2172,375,2313,532,2313,532,2172",0.7998
5,"88,2282,88,2394,205,2394,205,2282",0.7774
5,"1916,882,1916,978,1998,978,1998,882",0.5874
7,"2138,757,2138,879,2282,879,2282,757",0.6028
8,"1356,1842,1356,2123,1637,2123,1637,1842",0.9757
12,"1578,1896,1578,2121,1812,2121,1812,1896",0.9835
12,"1436,1518,1436,1753,1642,1753,1642,1518",0.9819
12,"1721,234,1721,461,1971,461,1971,234",0.5716
15,"0,1402,0,1577,182,1577,182,1402",0.9312
15,"2195,16,2195,184,2443,184,2443,16",0.8717
15,"628,1060,628,1153,746,1153,746,1060",0.8294
15,"0,2422,0,2699,289,2699,289,2422",0.6739
15,"2072,2870,2072,3084,2294,3084,2294,2870",0.5914
15,"217,2832,217,2933,1055,2933,1055,2832",0.5154
18,"1501,1263,1501,1437,1671,1437,1671,1263",0.9826
18,"1419,626,1419,871,1618,871,1618,626",0.9814
18,"1939,1196,1939,1347,2159,1347,2159,1196",0.9679
18,"1286,2343,1286,2573,1491,2573,1491,2343",0.8760
18,"1235,1752,1235,1854,1328,1854,1328,1752",0.8486
18,"1539,2215,1539,2436,1702,2436,1702,2215",0.8398
18,"1442,2735,1442,2861,1561,2861,1561,2735",0.6982
20,"859,168,859,385,1035,385,1035,168",0.9843
20,"662,1347,662,1519,833,1519,833,1347",0.9791
20,"1033,430,1033,601,1191,601,1191,430",0.9609
20,"955,689,955,857,1109,857,1109,689",0.9597
20,"716,1763,716,1928,925,1928,925,1763",0.9522
20,"947,994,947,1147,1116,1147,1116,994",0.9426
20,"929,1323,929,1476,1125,1476,1125,1323",0.9089
22,"1971,1310,1971,1521,2195,1521,2195,1310",0.9895
22,"1811,938,1811,1111,1979,1111,1979,938",0.9863
22,"1637,685,1637,877,1798,877,1798,685",0.9733
22,"1653,1178,1653,1326,1778,1326,1778,1178",0.9680
22,"218,1712,218,1883,383,1883,383,1712",0.9642
22,"413,1063,413,1229,572,1229,572,1063",0.9634
22,"2016,518,2016,649,2202,649,2202,518",0.9489
22,"241,110,241,285,397,285,397,110",0.9450
